feature,importance
vital48h_gcs_std_missing,0.00042377532
emb_241,0.0004220853
emb_200,0.00042185842
emb_229,0.00042152748
emb_375,0.00042141357
emb_371,0.00042046444
emb_354,0.00041791535
emb_89,0.00041729942
emb_251,0.0004148143
emb_282,0.0004138304
vital48h_mbp_min_missing,0.00041105016
emb_302,0.00041095517
emb_215,0.00040954727
vital48h_pap_dbp_max_missing,0.00040695607
emb_103,0.00040623057
emb_152,0.0004024749
emb_76,0.00039980133
labs7d_creatinine_min_missing,0.0003969993
emb_351,0.00039624437
labs7d_lactate_std,0.0003954896
emb_123,0.0003936351
vital48h_tidal_volume_min_missing,0.00039239138
emb_297,0.00039215476
vital48h_minute_ventilation_count_missing,0.00038375892
emb_49,0.00038267876
labs7d_ph_min_missing,0.00038198626
emb_270,0.00038042842
emb_342,0.00037739036
fluid48h_net_ml_missing,0.00037237033
emb_188,0.00036890007
emb_131,0.00036516442
labs7d_ph_mean_missing,0.00036275052
emb_294,0.00036267244
emb_189,0.00036106288
vital48h_spo2_value_mean_missing,0.00035819996
emb_293,0.000357896
emb_242,0.00035731483
labs7d_plt_last_missing,0.00035595457
emb_307,0.00035498734
emb_240,0.0003546982
emb_122,0.0003539914
emb_45,0.00035343197
dem_sex_F,0.0003512317
emb_286,0.00035036833
vital48h_mbp_mean_missing,0.00034893886
emb_295,0.000343588
emb_343,0.0003415484
fluid48h_output_urine_total_ml,0.00034105568
emb_345,0.00034042835
emb_167,0.00033728228
labs7d_creatinine_count_missing,0.0003349749
emb_327,0.00033430714
vital48h_pap_sbp_mean_missing,0.000334298
emb_288,0.0003296084
emb_193,0.00032643293
emb_70,0.00032395532
labs7d_bun_max_missing,0.00032102672
vital48h_pap_dbp_min_missing,0.00031975552
emb_217,0.00031132222
emb_324,0.00031074267
emb_71,0.00030962328
emb_72,0.00030598737
emb_331,0.00030568018
emb_85,0.00030435115
emb_86,0.00030403983
emb_289,0.00030207477
labs7d_albumin_last,0.00029948054
emb_56,0.00029890673
emb_300,0.00029512396
emb_373,0.00029476394
emb_11,0.00028934304
emb_260,0.00028822848
emb_65,0.00028745653
emb_75,0.00028216906
emb_279,0.00028199918
emb_278,0.00028073907
emb_319,0.00028001878
vital48h_gcs_min,0.00027954308
vital48h_cvp_last_missing,0.0002792458
fluid48h_input_count,0.00027822927
emb_346,0.00026480877
vital48h_gcs_mean,0.00026158273
vital48h_cvp_min_missing,0.00024946258
emb_198,0.0002488685
emb_96,0.00024789802
emb_234,0.0002476735
emb_220,0.00024674612
emb_23,0.00024656908
emb_337,0.00024104159
emb_211,0.0002370384
emb_181,0.00023599215
